is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.458, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -5.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 25, shaped_reward: -0.060
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.458, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -5.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 25, shaped_reward: -0.060
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.458, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -5.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 25, shaped_reward: -0.060
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.458, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -5.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 25, shaped_reward: -0.060
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.458, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -5.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 25, shaped_reward: -0.060
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.458, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -5.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 25, shaped_reward: -0.060
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.458, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -5.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 25, shaped_reward: -0.060
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.458, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -5.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 25, shaped_reward: -0.060
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.458, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -5.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 25, shaped_reward: -0.060
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.458, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -5.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 25, shaped_reward: -0.060
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.458, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -5.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 25, shaped_reward: -0.060
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.458, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -5.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 25, shaped_reward: -0.060
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.458, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -5.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 25, shaped_reward: -0.060
